date,open,high,low,close,volume,closeadj,change,pct_chg,sin_time_id,cos_time_id
2014-01-03,3.973,3.98,3.905,3.917,25933200,3.696,0.053,1.353,0.5713,0.866
2014-01-06,3.958,4.0,3.92,3.97,40949200,3.746,0.065,1.637,0.9378,0.866
2014-01-07,4.01,4.05,3.981,4.035,33328800,3.807,0.055,1.363,0.9885,0.866
2014-01-08,4.05,4.11,4.035,4.09,30819200,3.859,-0.152,-3.716,0.9987,0.866
2014-01-09,4.027,4.035,3.925,3.938,29217200,3.715,-0.005,-0.127,0.9681,0.866
2014-01-10,3.95,3.978,3.897,3.933,21849200,3.711,-0.093,-2.365,0.8978,0.866
2014-01-13,3.933,3.956,3.833,3.84,24333200,3.623,0.12,3.125,0.4853,0.866
2014-01-14,3.86,3.967,3.842,3.96,24182800,3.736,0.043,1.086,0.2994,0.866
2014-01-15,3.978,4.016,3.96,4.003,17504400,3.777,0.012,0.3,0.1012,0.866
2014-01-16,4.003,4.022,3.985,4.015,22065200,3.788,-0.017,-0.423,-0.1012,0.866
2014-01-17,4.015,4.062,3.973,3.998,34040000,3.772,0.015,0.375,-0.2994,0.866
2014-01-21,4.003,4.037,3.97,4.013,24607600,3.786,-0.005,-0.125,-0.8978,0.866
2014-01-22,4.02,4.025,3.96,4.008,33794000,3.781,-0.015,-0.374,-0.9681,0.866
2014-01-23,3.995,4.037,3.962,3.993,18502800,3.767,-0.103,-2.58,-0.9987,0.866
2014-01-24,3.96,3.975,3.89,3.89,24669600,3.67,-0.025,-0.643,-0.9885,0.866
2014-01-27,3.89,3.945,3.842,3.865,23381200,3.647,0.037,0.957,-0.7248,0.866
2014-01-28,3.857,3.905,3.842,3.902,16799600,3.682,-0.037,-0.948,-0.5713,0.866
2014-01-29,3.888,3.91,3.862,3.865,16294400,3.647,0.065,1.682,-0.3944,0.866
2014-01-30,3.888,3.938,3.875,3.93,20289600,3.708,-0.005,-0.127,-0.2013,0.866
2014-01-31,3.875,3.947,3.873,3.925,33534800,3.703,-0.052,-1.325,-0.0,0.866
2014-02-03,3.953,3.958,3.857,3.873,43172800,3.654,0.022,0.568,0.5713,0.5
2014-02-04,3.87,3.902,3.85,3.895,28069200,3.675,-0.035,-0.899,0.7248,0.5
2014-02-05,3.868,3.88,3.83,3.86,21467600,3.642,0.05,1.295,0.8486,0.5
2014-02-06,3.865,3.92,3.86,3.91,16838000,3.689,0.057,1.458,0.9378,0.5
2014-02-07,3.92,3.973,3.885,3.967,15724800,3.744,0.013,0.328,0.9885,0.5
2014-02-10,3.962,4.032,3.959,3.98,32437200,3.755,0.082,2.06,0.8978,0.5
2014-02-11,4.003,4.072,3.983,4.062,23538400,3.833,0.145,3.57,0.7908,0.5
2014-02-12,4.075,4.237,4.075,4.207,74452800,3.97,0.133,3.161,0.6514,0.5
2014-02-13,4.312,4.365,4.237,4.34,90283600,4.095,0.138,3.18,0.4853,0.5
2014-02-14,4.3,4.487,4.298,4.478,81753600,4.225,-0.003,-0.067,0.2994,0.5
2014-02-18,4.48,4.495,4.438,4.475,42898800,4.222,0.06,1.341,-0.4853,0.5
2014-02-19,4.475,4.575,4.455,4.535,45034000,4.279,0.16,3.528,-0.6514,0.5
2014-02-20,4.545,4.704,4.537,4.695,39808800,4.43,-0.035,-0.745,-0.7908,0.5
2014-02-21,4.688,4.747,4.63,4.66,45105200,4.397,0.068,1.459,-0.8978,0.5
2014-02-24,4.65,4.763,4.607,4.728,40311200,4.461,-0.043,-0.909,-0.9885,0.5
2014-02-25,4.7,4.72,4.635,4.685,24218400,4.441,-0.007,-0.149,-0.9378,0.5
2014-02-26,4.675,4.745,4.662,4.678,36088400,4.434,-0.053,-1.133,-0.8486,0.5
2014-02-27,4.678,4.725,4.612,4.625,38884800,4.384,-0.03,-0.649,-0.7248,0.5
2014-02-28,4.6,4.645,4.529,4.595,32169200,4.355,-0.023,-0.501,-0.5713,0.5
2014-03-03,4.492,4.572,4.452,4.572,37594800,4.334,0.048,1.05,0.5713,0.0
2014-03-04,4.595,4.65,4.588,4.62,26034400,4.379,0.04,0.866,0.7248,0.0
2014-03-05,4.615,4.662,4.595,4.66,24147200,4.417,-0.065,-1.395,0.8486,0.0
2014-03-06,4.668,4.692,4.588,4.595,29014400,4.355,-0.005,-0.109,0.9378,0.0
2014-03-07,4.615,4.622,4.554,4.59,26845200,4.351,-0.068,-1.481,0.9885,0.0
2014-03-10,4.575,4.595,4.503,4.522,30088800,4.287,0.045,0.995,0.8978,0.0
2014-03-11,4.545,4.607,4.53,4.567,29722000,4.329,0.013,0.285,0.7908,0.0
2014-03-12,4.545,4.607,4.527,4.58,23942800,4.341,-0.145,-3.166,0.6514,0.0
2014-03-13,4.59,4.607,4.412,4.435,38517200,4.204,0.02,0.451,0.4853,0.0
2014-03-14,4.39,4.495,4.39,4.455,46004800,4.223,0.0,0.0,0.2994,0.0
2014-03-17,4.468,4.5,4.45,4.455,29965600,4.223,0.105,2.357,-0.2994,0.0
2014-03-18,4.473,4.59,4.452,4.56,29390400,4.322,0.079,1.732,-0.4853,0.0
2014-03-19,4.595,4.728,4.582,4.639,36616800,4.397,0.004,0.086,-0.6514,0.0
2014-03-20,4.615,4.683,4.595,4.643,19180000,4.4,-0.008,-0.172,-0.7908,0.0
2014-03-21,4.683,4.72,4.61,4.635,56611600,4.393,-0.023,-0.496,-0.8978,0.0
2014-03-24,4.638,4.675,4.545,4.612,30609600,4.372,0.0,0.0,-0.9885,0.0
2014-03-25,4.662,4.668,4.577,4.612,30442400,4.372,-0.104,-2.255,-0.9378,0.0
2014-03-26,4.655,4.742,4.468,4.508,55775600,4.272,-0.061,-1.353,-0.8486,0.0
2014-03-27,4.497,4.535,4.396,4.447,54072800,4.216,0.028,0.63,-0.7248,0.0
2014-03-28,4.44,4.503,4.428,4.475,39882000,4.242,0.003,0.067,-0.5713,0.0
2014-03-31,4.482,4.522,4.451,4.478,27340400,4.244,0.184,4.109,-0.0,0.0
2014-04-01,4.62,4.718,4.565,4.662,65627200,4.419,-0.029,-0.622,0.2013,-0.5
2014-04-02,4.662,4.673,4.612,4.633,23994800,4.391,0.05,1.079,0.3944,-0.5
2014-04-03,4.643,4.796,4.64,4.683,59954800,4.438,-0.146,-3.118,0.5713,-0.5
2014-04-04,4.707,4.735,4.516,4.537,36803200,4.301,0.016,0.353,0.7248,-0.5
2014-04-07,4.54,4.64,4.515,4.553,42857600,4.315,0.162,3.558,0.9885,-0.5
2014-04-08,4.553,4.728,4.545,4.715,47069200,4.469,-0.005,-0.106,0.9987,-0.5
2014-04-09,4.737,4.777,4.673,4.71,42196800,4.464,-0.115,-2.442,0.9681,-0.5
2014-04-10,4.69,4.755,4.58,4.595,37274800,4.355,-0.065,-1.415,0.8978,-0.5
2014-04-11,4.56,4.63,4.47,4.53,35311200,4.294,0.05,1.104,0.7908,-0.5
2014-04-14,4.56,4.598,4.53,4.58,29018400,4.341,0.032,0.699,0.2994,-0.5
2014-04-15,4.585,4.638,4.54,4.612,30463600,4.372,0.01,0.217,0.1012,-0.5
2014-04-16,4.635,4.64,4.564,4.622,23513600,4.381,0.018,0.389,-0.1012,-0.5
2014-04-17,4.605,4.683,4.595,4.64,15353200,4.398,0.038,0.819,-0.2994,-0.5
2014-04-21,4.643,4.69,4.612,4.678,11700400,4.434,0.04,0.855,-0.8978,-0.5
2014-04-22,4.685,4.747,4.66,4.718,25512000,4.471,0.054,1.145,-0.9681,-0.5
2014-04-23,4.725,4.785,4.718,4.772,26158000,4.524,0.043,0.901,-0.9987,-0.5
2014-04-24,4.805,4.865,4.805,4.815,39149200,4.564,-0.132,-2.741,-0.9885,-0.5
2014-04-25,4.805,4.85,4.673,4.683,31360000,4.438,-0.021,-0.448,-0.9378,-0.5
2014-04-28,4.72,4.745,4.605,4.662,22678800,4.419,0.011,0.236,-0.5713,-0.5
2014-04-29,4.68,4.689,4.62,4.673,17130000,4.429,-0.056,-1.198,-0.3944,-0.5
2014-04-30,4.665,4.67,4.607,4.617,30574000,4.377,0.026,0.563,-0.2013,-0.5
2014-05-01,4.688,4.697,4.605,4.643,19810400,4.4,-0.036,-0.775,0.2013,-0.866
2014-05-02,4.665,4.665,4.58,4.607,15637600,4.367,0.05,1.085,0.3944,-0.866
2014-05-05,4.603,4.692,4.598,4.657,23926000,4.415,-0.095,-2.04,0.8486,-0.866
2014-05-06,4.702,4.742,4.55,4.562,41618800,4.325,0.007,0.153,0.9378,-0.866
2014-05-07,4.562,4.605,4.518,4.569,29390000,4.33,0.056,1.226,0.9885,-0.866
2014-05-08,4.55,4.697,4.527,4.625,43272800,4.384,-0.112,-2.422,0.9987,-0.866
2014-05-09,4.485,4.527,4.428,4.513,53953200,4.277,0.132,2.925,0.9681,-0.866
2014-05-12,4.522,4.655,4.52,4.645,29985600,4.403,-0.075,-1.615,0.6514,-0.866
2014-05-13,4.582,4.657,4.555,4.57,22110400,4.332,-0.045,-0.985,0.4853,-0.866
2014-05-14,4.572,4.59,4.522,4.525,21432000,4.289,-0.025,-0.552,0.2994,-0.866
2014-05-15,4.515,4.54,4.455,4.5,32589600,4.265,-0.01,-0.222,0.1012,-0.866
2014-05-16,4.465,4.522,4.465,4.49,28396000,4.256,0.145,3.229,-0.1012,-0.866
2014-05-19,4.537,4.66,4.518,4.635,36007600,4.393,-0.075,-1.618,-0.6514,-0.866
2014-05-20,4.615,4.628,4.537,4.56,25620000,4.342,0.0,0.0,-0.7908,-0.866
2014-05-21,4.577,4.616,4.531,4.56,21671200,4.342,0.02,0.439,-0.8978,-0.866
2014-05-22,4.55,4.605,4.55,4.58,13036400,4.361,0.042,0.917,-0.9681,-0.866
2014-05-23,4.605,4.645,4.577,4.622,18265600,4.402,0.083,1.796,-0.9987,-0.866
2014-05-27,4.65,4.705,4.635,4.705,20968000,4.48,0.04,0.85,-0.7248,-0.866
2014-05-28,4.723,4.775,4.678,4.745,22467600,4.518,-0.008,-0.169,-0.5713,-0.866
2014-05-29,4.742,4.782,4.728,4.737,17188400,4.511,0.013,0.274,-0.3944,-0.866
2014-05-30,4.737,4.763,4.713,4.75,23912800,4.523,-0.015,-0.316,-0.2013,-0.866
2014-06-02,4.765,4.795,4.695,4.735,18150000,4.509,-0.02,-0.422,0.3944,-1.0
2014-06-03,4.745,4.75,4.652,4.715,24321200,4.49,0.005,0.106,0.5713,-1.0
2014-06-04,4.702,4.755,4.7,4.72,16123600,4.495,0.02,0.424,0.7248,-1.0
2014-06-05,4.728,4.755,4.7,4.74,18869600,4.514,0.018,0.38,0.8486,-1.0
2014-06-06,4.763,4.8,4.745,4.758,16105200,4.53,0.005,0.105,0.9378,-1.0
2014-06-09,4.753,4.808,4.72,4.763,24745600,4.535,0.024,0.504,0.9681,-1.0
2014-06-10,4.745,4.81,4.725,4.787,21760800,4.559,0.063,1.316,0.8978,-1.0
2014-06-11,4.77,4.861,4.77,4.85,26622800,4.618,0.03,0.619,0.7908,-1.0
2014-06-12,4.85,4.902,4.808,4.88,33714800,4.647,0.005,0.102,0.6514,-1.0
2014-06-13,4.93,4.933,4.838,4.885,22785200,4.652,-0.015,-0.307,0.4853,-1.0
2014-06-16,4.862,4.902,4.827,4.87,19862000,4.637,0.032,0.657,-0.1012,-1.0
2014-06-17,4.875,4.923,4.85,4.902,15760800,4.668,-0.005,-0.102,-0.2994,-1.0
2014-06-18,4.89,4.92,4.845,4.897,21553600,4.664,-0.112,-2.287,-0.4853,-1.0
2014-06-19,4.808,4.832,4.75,4.785,47459200,4.556,-0.053,-1.108,-0.6514,-1.0
2014-06-20,4.798,4.814,4.695,4.732,35314800,4.507,-0.054,-1.141,-0.7908,-1.0
2014-06-23,4.67,4.68,4.615,4.678,41420000,4.454,-0.073,-1.56,-0.9987,-1.0
2014-06-24,4.67,4.707,4.585,4.605,27578000,4.385,0.047,1.021,-0.9885,-1.0
2014-06-25,4.617,4.655,4.575,4.652,21542000,4.43,-0.062,-1.333,-0.9378,-1.0
2014-06-26,4.652,4.655,4.575,4.59,25690800,4.371,0.005,0.109,-0.8486,-1.0
2014-06-27,4.585,4.622,4.558,4.595,30282000,4.376,0.04,0.871,-0.7248,-1.0
2014-06-30,4.577,4.647,4.577,4.635,18051200,4.414,0.053,1.143,-0.2013,-1.0
2014-07-01,4.63,4.714,4.615,4.688,32118000,4.464,-0.017,-0.363,0.2013,-0.866
2014-07-02,4.67,4.69,4.643,4.671,17928400,4.448,0.042,0.899,0.3944,-0.866
2014-07-03,4.628,4.725,4.628,4.713,13689200,4.487,-0.038,-0.806,0.5713,-0.866
2014-07-07,4.72,4.723,4.668,4.675,12749600,4.452,-0.037,-0.791,0.9885,-0.866
2014-07-08,4.662,4.683,4.593,4.638,22194000,4.416,0.139,2.997,0.9987,-0.866
2014-07-09,4.678,4.798,4.643,4.777,38766800,4.549,-0.026,-0.544,0.9681,-0.866
2014-07-10,4.688,4.772,4.65,4.751,26630800,4.524,0.012,0.253,0.8978,-0.866
2014-07-11,4.758,4.777,4.74,4.763,19118800,4.535,0.059,1.239,0.7908,-0.866
2014-07-14,4.782,4.835,4.765,4.822,27263600,4.592,0.021,0.436,0.2994,-0.866
2014-07-15,4.83,4.855,4.798,4.843,39544000,4.611,-0.005,-0.103,0.1012,-0.866
2014-07-16,4.862,4.9,4.81,4.838,31972800,4.607,-0.013,-0.269,-0.1012,-0.866
2014-07-17,4.782,4.875,4.782,4.825,32483200,4.595,-0.215,-4.456,-0.2994,-0.866
2014-07-18,4.725,4.763,4.603,4.61,56781600,4.39,0.028,0.607,-0.4853,-0.866
2014-07-21,4.593,4.67,4.593,4.638,24336400,4.416,-0.021,-0.453,-0.8978,-0.866
2014-07-22,4.673,4.697,4.607,4.617,29881600,4.397,-0.097,-2.101,-0.9681,-0.866
2014-07-23,4.62,4.622,4.515,4.52,29735200,4.304,0.007,0.155,-0.9987,-0.866
2014-07-24,4.545,4.558,4.495,4.527,25457600,4.311,-0.08,-1.767,-0.9885,-0.866
2014-07-25,4.513,4.522,4.44,4.447,26613200,4.235,-0.017,-0.382,-0.9378,-0.866
2014-07-28,4.468,4.468,4.354,4.43,33035200,4.218,0.015,0.339,-0.5713,-0.866
2014-07-29,4.433,4.505,4.43,4.445,21797200,4.233,0.075,1.687,-0.3944,-0.866
2014-07-30,4.473,4.532,4.46,4.52,24618400,4.304,-0.145,-3.208,-0.2013,-0.866
2014-07-31,4.465,4.5,4.366,4.375,40188000,4.166,0.048,1.097,-0.0,-0.866
2014-08-01,4.375,4.447,4.36,4.423,21988400,4.211,-0.011,-0.249,0.2013,-0.5
2014-08-04,4.418,4.455,4.39,4.412,24172400,4.202,0.003,0.068,0.7248,-0.5
2014-08-05,4.4,4.48,4.362,4.415,29813600,4.204,-0.005,-0.113,0.8486,-0.5
2014-08-06,4.385,4.465,4.353,4.41,22345600,4.199,-0.045,-1.02,0.9378,-0.5
2014-08-07,4.447,4.487,4.335,4.365,40769600,4.157,0.385,8.82,0.9885,-0.5
2014-08-08,4.555,4.775,4.555,4.75,89434800,4.523,-0.025,-0.526,0.9987,-0.5
2014-08-11,4.755,4.775,4.713,4.725,34462400,4.499,0.0,0.0,0.7908,-0.5
2014-08-12,4.723,4.75,4.673,4.725,29615200,4.499,0.028,0.593,0.6514,-0.5
2014-08-13,4.732,4.793,4.702,4.753,25659600,4.526,-0.053,-1.115,0.4853,-0.5
2014-08-14,4.77,4.77,4.68,4.7,25599200,4.476,0.06,1.277,0.2994,-0.5
2014-08-15,4.715,4.786,4.67,4.76,36979600,4.533,0.065,1.366,0.1012,-0.5
2014-08-18,4.78,4.83,4.732,4.825,28407600,4.595,0.018,0.373,-0.4853,-0.5
2014-08-19,4.805,4.867,4.787,4.843,24826000,4.632,-0.031,-0.64,-0.6514,-0.5
2014-08-20,4.825,4.848,4.801,4.812,22146800,4.603,-0.044,-0.914,-0.7908,-0.5
2014-08-21,4.8,4.825,4.76,4.768,27279600,4.56,0.002,0.042,-0.8978,-0.5
2014-08-22,4.763,4.81,4.732,4.77,25122400,4.562,0.007,0.147,-0.9681,-0.5
2014-08-25,4.79,4.822,4.768,4.777,15338000,4.569,0.087,1.821,-0.9378,-0.5
2014-08-26,4.79,4.872,4.772,4.864,26963600,4.652,-0.056,-1.151,-0.8486,-0.5
2014-08-27,4.832,4.869,4.8,4.808,18297200,4.598,0.04,0.832,-0.7248,-0.5
2014-08-28,4.798,4.857,4.782,4.848,17970400,4.636,0.014,0.289,-0.5713,-0.5
2014-08-29,4.865,4.872,4.812,4.862,20793200,4.651,0.012,0.247,-0.3944,-0.5
2014-09-02,4.875,4.875,4.829,4.874,19263600,4.661,0.047,0.964,0.3944,-0.0
2014-09-03,4.9,4.938,4.867,4.921,25945600,4.707,0.087,1.768,0.5713,-0.0
2014-09-04,4.912,5.037,4.91,5.008,49183200,4.789,-0.016,-0.319,0.7248,-0.0
2014-09-05,5.003,5.025,4.96,4.992,25379200,4.775,-0.045,-0.901,0.8486,-0.0
2014-09-08,4.987,4.997,4.928,4.947,31928800,4.732,-0.062,-1.253,0.9987,-0.0
2014-09-09,4.925,4.957,4.88,4.885,19858800,4.672,0.017,0.348,0.9681,-0.0
2014-09-10,4.912,4.921,4.856,4.902,17237600,4.689,-0.049,-1.0,0.8978,-0.0
2014-09-11,4.867,4.885,4.8,4.853,25072000,4.641,-0.073,-1.504,0.7908,-0.0
2014-09-12,4.883,4.883,4.774,4.78,26253600,4.572,-0.065,-1.36,0.6514,-0.0
2014-09-15,4.795,4.803,4.695,4.715,29415200,4.51,0.069,1.463,0.1012,-0.0
2014-09-16,4.702,4.81,4.688,4.784,21993600,4.575,0.003,0.063,-0.1012,-0.0
2014-09-17,4.772,4.832,4.75,4.787,17358400,4.579,0.073,1.525,-0.2994,-0.0
2014-09-18,4.817,4.865,4.803,4.86,21960400,4.648,-0.09,-1.852,-0.4853,-0.0
